State/UT,Attempt to Commit Rape (Total)(I),Attempt to Commit Rape (Total)(V),A) Women (18 Yrs. And above)(I),A) Women (18 Yrs. And above)(I),B) Girls (Below 18 yrs))(I),B) Girls (Below 18 yrs))(I)
Andhra Pradesh,191,192,144,144,47,48
Arunachal Pradesh,11,12,5,5,6,7
Assam,527,527,525,525,2,2
Bihar,110,110,105,105,5,5
Chhattisgarh,27,27,10,10,17,17
Goa,0,0,0,0,0,0
Gujarat,4,4,3,3,1,1
Haryana,176,176,172,172,4,4
Himachal Pradesh,11,11,6,6,5,5
Jammu & Kashmir,23,23,17,17,6,6
Jharkhand,251,255,213,216,38,39
Karnataka,10,10,10,10,0,0
Kerala,58,58,43,43,15,15
Madhya Pradesh,73,73,37,37,36,36
Maharashtra,4,4,4,4,0,0
Manipur,6,6,5,5,1,1
Meghalaya,22,24,16,16,6,8
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,156,156,151,151,5,5
Punjab,79,80,35,35,44,45
Rajasthan,620,620,583,583,37,37
Sikkim,1,1,1,1,0,0
Tamil Nadu,13,15,13,15,0,0
Telangana,38,39,29,30,9,9
Tripura,33,36,29,32,4,4
Uttar Pradesh,661,662,517,518,144,144
Uttarakhand,19,19,12,12,7,7
West Bengal,944,958,944,958,0,0
A&N Islands,0,0,0,0,0,0
Chandigarh,9,39,3,33,6,6
D&N Haveli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
Delhi,11,11,11,11,0,0
Lakshadweep,0,0,0,0,0,0
Puducherry,9,9,9,9,0,0
