State/UT,Punishment for Rape (Sec.376 & 376(I),Rape in Custody (Total),By Police Personnel (Sec.376(2) (a),By Public Servant (Sec.376(2) (b),By Member of Armed Forces (Sec.376(2) (c),By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d),By Management/ Staff of Hospital (Sec.376(2) (e)
Andhra Pradesh,578,6,3,0,0,1,2
Arunachal Pradesh,42,0,0,0,0,0,0
Assam,1476,1,1,0,0,0,0
Bihar,625,0,0,0,0,0,0
Chhattisgarh,1257,3,3,0,0,0,0
Goa,54,0,0,0,0,0,0
Gujarat,497,1,0,0,0,1,0
Haryana,841,0,0,0,0,0,0
Himachal Pradesh,249,0,0,0,0,0,0
Jharkhand,895,0,0,0,0,0,0
Karnataka,438,0,0,0,0,0,0
Kerala,1252,0,0,0,0,0,0
Madhya Pradesh,2575,23,5,4,0,14,0
Maharashtra,1571,1,0,0,0,0,1
Manipur,39,1,0,0,0,1,0
Meghalaya,59,1,1,0,0,0,0
Mizoram,40,0,0,0,0,0,0
Nagaland,9,0,0,0,0,0,0
Odisha,472,0,0,0,0,0,0
Punjab,745,1,0,0,0,0,1
Rajasthan,2910,4,2,0,2,0,0
Sikkim,15,0,0,0,0,0,0
Tamil Nadu,310,1,0,1,0,0,0
Telangana,465,0,0,0,0,0,0
Tripura,84,0,0,0,0,0,0
Uttar Pradesh,3277,11,0,8,0,0,3
Uttarakhand,328,0,0,0,0,0,0
West Bengal,1001,0,0,0,0,0,0
A&N Islands,27,1,0,0,1,0,0
Chandigarh,46,3,1,1,0,1,0
D&N Haveli,7,0,0,0,0,0,0
Delhi,1138,2,0,1,0,1,0
Jammu & Kashmir,255,0,0,0,0,0,0
Lakshadweep,2,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0
