State/UT,Punishment for Rape (Sec.376 & 376(I),Rape in Custody (Total),By Police Personnel (Sec.376(2) (a),By Public Servant (Sec.376(2) (b),By Member of Armed Forces (Sec.376(2) (c),By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d),By Management/ Staff of Hospital (Sec.376(2) (e)
Andhra Pradesh,753,0,0,0,0,0,0
Arunachal Pradesh,66,0,0,0,0,0,0
Assam,1455,1,0,1,0,0,0
Bihar,778,0,0,0,0,0,0
Chhattisgarh,676,3,1,0,1,1,0
Goa,59,0,0,0,0,0,0
Gujarat,373,0,0,0,0,0,0
Haryana,656,0,0,0,0,0,0
Himachal Pradesh,282,1,0,0,0,0,1
Jharkhand,1105,0,0,0,0,0,0
Karnataka,442,0,0,0,0,0,0
Kerala,370,4,0,1,0,0,3
Madhya Pradesh,1042,1,0,0,0,0,1
Maharashtra,1361,0,0,0,0,0,0
Manipur,22,0,0,0,0,0,0
Meghalaya,63,0,0,0,0,0,0
Mizoram,14,1,1,0,0,0,0
Nagaland,1,0,0,0,0,0,0
Odisha,990,0,0,0,0,0,0
Punjab,436,1,0,0,0,1,0
Rajasthan,3847,1,1,0,0,0,0
Sikkim,8,0,0,0,0,0,0
Tamil Nadu,344,0,0,0,0,0,0
Telangana,556,1,0,0,0,0,1
Tripura,57,0,0,0,0,0,0
Uttar Pradesh,2511,12,0,9,0,2,1
Uttarakhand,519,0,0,0,0,0,0
West Bengal,875,0,0,0,0,0,0
A&N Islands,13,0,0,0,0,0,0
Chandigarh,21,0,0,0,0,0,0
D&N Haveli,3,0,0,0,0,0,0
Delhi,1125,0,0,0,0,0,0
Jammu & Kashmir,260,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0
Puducherry,2,0,0,0,0,0,0
