State/UT,Rape Other than Custodial (Total),By Relative/ Guardian / Teacher/ Person in position of trust (Sec.376(2) (f),On Pregnant Women (Sec.376(2)(h),On Women Below 16 years of age (Sec.376(2) (i),On Women Incapable of giving Consent (Sec.376(2) (j),By Persons in Control or Dominance over women (Sec.376(2) (k),On Women with Mental or Physical disability (Sec.376(2)(l),Endanger life of Women after Rape (Sec.376(2)(m),Repeated Rape on same women (Sec.376(2)(n),Other Custodial Rapes,Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)),Punishment for causing Death (Sec.376(A))
Andhra Pradesh,315,18,1,40,1,0,17,1,197,40,72,0
Arunachal Pradesh,12,3,0,4,0,0,1,0,0,4,2,0
Assam,207,27,1,0,0,0,4,0,4,171,0,3
Bihar,6,6,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,381,222,0,0,3,0,3,0,119,34,0,0
Goa,8,4,0,3,0,0,0,0,1,0,0,0
Gujarat,199,22,1,0,4,2,4,3,163,0,0,0
Haryana,814,13,4,0,0,0,1,0,584,212,0,0
Himachal Pradesh,70,24,1,42,0,0,1,0,2,0,0,0
Jharkhand,215,93,0,38,0,0,1,0,46,37,50,0
Karnataka,100,17,0,0,2,1,5,1,51,23,0,0
Kerala,381,32,2,0,3,2,10,3,286,43,0,0
Madhya Pradesh,1754,169,12,0,0,18,5,1,1111,438,0,0
Maharashtra,1031,77,3,0,24,3,35,7,864,18,15,2
Manipur,4,4,0,0,0,0,0,0,0,0,0,0
Meghalaya,10,3,0,0,0,0,5,1,1,0,0,0
Mizoram,7,1,0,0,0,0,6,0,0,0,0,0
Nagaland,3,1,1,0,0,0,0,0,0,1,0,0
Odisha,457,394,0,0,0,0,0,0,63,0,0,2
Punjab,4,0,0,0,0,0,1,0,3,0,0,0
Rajasthan,1232,406,1,116,175,22,1,0,390,121,21,1
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,72,30,0,0,16,2,6,1,16,1,0,0
Telangana,245,12,0,0,27,2,9,0,161,34,0,0
Tripura,3,0,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,63,5,0,1,0,0,0,0,0,57,0,0
Uttarakhand,15,7,0,0,0,0,0,0,8,0,0,0
West Bengal,135,4,0,0,0,0,1,3,14,113,0,0
A&N Islands,2,1,0,0,0,0,1,0,0,0,0,0
Chandigarh,32,0,1,2,1,1,0,1,25,1,12,0
D&N Haveli and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,59,9,0,0,0,0,0,1,43,6,0,1
Jammu & Kashmir,55,50,0,0,0,0,0,0,0,5,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
