State/UT, Area in sq. kms.,Male Population,Female Population,Total Population,Rural Population,Urban Population
Andhra Pradesh,275045,42442146,42138631,84580777,56361702,28219075
Arunachal Pradesh,83743,713912,669815,1383727,1066358,317369
Assam,78438,15939443,15266133,31205576,26807034,4398542
Bihar,94163,54278157,49821295,104099452,92341436,11758016
Chhattisgarh,135192,12832895,12712303,25545198,19607961,5937237
Goa ,3702,739140,719405,1458545,551731,906814
Gujarat,196244,31491260,28948432,60439692,34694609,25745083
Haryana,44212,13494734,11856728,25351462,16509359,8842103
Himachal Pradesh,55673,3481873,3382729,6864602,6176050,688552
Jammu & Kashmir,222236,6640662,5900640,12541302,9108060,3433242
Jharkhand,79716,16930315,16057819,32988134,25055073,7933061
Karnataka,191791,30966657,30128640,61095297,37469335,23625962
Kerala,38852,16027412,17378649,33406061,17471135,15934926
Madhya Pradesh,308252,37612306,35014503,72626809,52557404,20069405
Maharashtra,307713,58243056,54131277,112374333,61556074,50818259
Manipur ,22327,1438586,1417208,2855794,2021640,834154
Meghalaya,22429,1491832,1475057,2966889,2371439,595450
Mizoram,21081,555339,541867,1097206,525435,571771
Nagaland,16579,1024649,953853,1978502,1407536,570966
Odisha,155707,21212136,20762082,41974218,34970562,7003656
Punjab,50362,14639465,13103873,27743338,17344192,10399146
Rajasthan,342239,35550997,32997440,68548437,51500352,17048085
Sikkim,7096,323070,287507,610577,456999,153578
Tamil Nadu,130060,36137975,36009055,72147030,37229590,34917440
Tripura,10486,1874376,1799541,3673917,2712464,961453
Uttar Pradesh,240928,104480510,95331831,199812341,155317278,444950
Uttarakhand,53483,5137773,4948519,10086292,7036954,3049338
West Bengal,88752,46809027,44467088,91276115,62183113,29093002
A.& N.Islands ,8249,202871,177710,380581,237093,143488
Chandigarh ,114,580663,474787,1055450,28991,1026459
D.& N.Haveli ,491,193760,149949,343709,183114,160595
Daman & Diu ,111,150301,92946,243247,60396,182851
Delhi ,1483,8987326,7800615,16787941,419042,16368899
Lakshadweep ,30,33123,31350,64473,14141,50332
Puducherry ,490,612511,635442,1247953,395200,852753

