State/UT,Rape (Total)(I),Rape (Total)(V),Women (18 Yrs. And above)(I), Women (18 Yrs. And above)(V),Girls (Below 18 yrs)(I),Girls (Below 18 yrs)(V)
Andhra Pradesh,971,973,468,468,503,505
Arunachal Pradesh,67,70,38,38,29,32
Assam,1648,1767,1559,1678,89,89
Bihar,651,651,647,647,4,4
Chhattisgarh,2091,2101,876,882,1215,1219
Goa,61,61,27,27,34,34
Gujarat,553,553,546,546,7,7
Haryana,1296,1296,1294,1294,2,2
Himachal Pradesh,344,349,153,153,191,196
Jammu & Kashmir,320,328,283,286,37,42
Jharkhand,1090,1098,1021,1029,69,69
Karnataka,492,497,489,493,3,4
Kerala,1945,1972,808,816,1137,1156
Madhya Pradesh,5433,5450,2603,2609,2830,2841
Maharashtra,2142,2149,2142,2149,0,0
Manipur,52,52,35,35,17,17
Meghalaya,87,89,62,64,25,25
Mizoram,50,50,27,27,23,23
Nagaland,10,11,7,8,3,3
Odisha,918,923,881,886,37,37
Punjab,831,837,507,507,324,330
Rajasthan,4335,4337,3305,3305,1030,1032
Sikkim,16,16,12,12,4,4
Tamil Nadu,331,332,325,326,6,6
Telangana,606,606,606,606,0,0
Tripura,97,97,97,97,0,0
Uttar Pradesh,3946,4322,2593,2911,1353,1411
Uttarakhand,561,576,293,303,268,273
West Bengal,1069,1069,1065,1065,4,4
A&N Islands,30,30,16,16,14,14
Chandigarh,86,86,33,33,53,53
D&N Haveli,7,7,7,7,0,0
Daman & Diu,3,3,2,2,1,1
Delhi,1215,1217,1215,1217,0,0
Lakshadweep,2,2,2,2,0,0
Puducherry,0,0,0,0,0,0
