State/UT ,Cases Reported ,Below 6 Years ,6 Years & Above (Below 12 Years) ,12 Years & Above(Below 16 Years),16 Years & Above(Below 18 Years ),Total Girl /Child Victims(Below 18),18 Years & Above( Below 30 Years ),30 Years & Above (Below 45 Years),45 Years & Above(Below 60 Years),60 Years & Above ,Total Women / Adult Victims(Above 18),Total Victims 
Andhra Pradesh ,971,16,57,181,251,505,373,76,14,5,468,973
Arunachal Pradesh,67,4,4,13,11,32,29,9,0,0,38,70
Assam ,1648,7,24,6,52,89,1043,523,107,5,1678,1767
Bihar ,651,0,0,1,3,4,520,111,16,0,647,651
Chhattisgarh ,2091,41,80,557,541,1219,644,190,42,6,882,2101
Goa ,61,0,1,21,12,34,13,11,2,1,27,61
Gujarat ,553,0,0,3,4,7,389,144,12,1,546,553
Haryana ,1296,2,0,0,0,2,969,300,22,3,1294,1296
Himachal Pradesh,344,2,25,85,84,196,101,45,6,1,153,349
Jammu & Kashmir,320,0,6,18,18,42,172,109,5,0,286,328
Jharkhand ,1090,0,0,6,63,69,798,217,14,0,1029,1098
Karnataka ,492,0,0,2,2,4,369,120,3,1,493,497
Kerala ,1945,48,129,334,645,1156,465,294,43,14,816,1972
Madhya Pradesh,5433,54,142,1143,1502,2841,1798,725,75,11,2609,5450
Maharashtra ,2142,0,0,0,0,0,1524,552,62,11,2149,2149
Manipur ,52,0,1,7,9,17,27,7,1,0,35,52
Meghalaya* ,87,0,4,6,15,25,49,14,1,0,64,89
Mizoram ,50,2,12,8,1,23,20,5,1,1,27,50
Nagaland ,10,0,0,1,2,3,5,1,1,1,8,11
Odisha ,918,0,0,10,27,37,835,47,4,0,886,923
Punjab ,831,10,30,151,139,330,381,108,15,3,507,837
Rajasthan ,4335,17,48,392,575,1032,2263,912,129,1,3305,4337
Sikkim ,16,0,0,0,4,4,5,4,3,0,12,16
Tamil Nadu ,331,1,1,1,3,6,256,63,6,1,326,332
Telangana ,606,0,0,0,0,0,465,123,17,1,606,606
Tripura ,97,0,0,0,0,0,73,21,3,0,97,97
Uttar Pradesh,3946,67,174,570,600,1411,2235,603,70,3,2911,4322
Uttarakhand ,561,3,5,79,186,273,194,101,8,0,303,576
West Bengal ,1069,0,0,1,3,4,736,310,18,1,1065,1069
A & N Islands,30,0,1,3,10,14,12,3,1,0,16,30
Chandigarh ,86,7,13,16,17,53,14,12,7,0,33,86
D&N Haveli ,7,0,0,0,0,0,6,1,0,0,7,7
Daman & Diu ,3,0,0,1,0,1,2,0,0,0,2,3
Delhi UT ,1215,0,0,0,0,0,851,345,19,2,1217,1217
Lakshadweep ,2,0,0,0,0,0,0,2,0,0,2,2
