State/UT,By Seperated husband (Sec.376 (B)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)),By Person in Authority (Sec.376 (C)),Gang Rape (Sec.376(D)),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DB)),Punishment for Repeat offenders (Sec.376(E)),Rape (Total) (Sec.376 IPC)
Andhra Pradesh,0,13,1,12,0,4,0,971
Arunachal Pradesh,0,0,0,1,2,0,0,67
Assam,2,0,0,20,1,0,0,1648
Bihar,0,0,0,8,1,0,0,651
Chhattisgarh,0,14,1,38,4,10,6,2091
Goa,0,0,0,3,0,0,0,61
Gujarat,0,0,0,7,0,0,0,553
Haryana,14,2,10,155,0,8,55,1296
Himachal Pradesh,1,5,0,7,0,1,0,344
Jammu & Kashmir,0,0,0,0,0,0,0,320
Jharkhand,0,0,35,50,0,0,0,1090
Karnataka,2,0,0,8,0,0,0,492
Kerala,1,11,0,13,2,9,0,1945
Madhya Pradesh,6,56,2,198,7,25,132,5433
Maharashtra,3,3,2,90,0,0,0,2142
Manipur,1,0,0,0,0,0,0,52
Meghalaya,0,0,0,0,0,0,0,87
Mizoram,0,5,0,0,0,0,0,50
Nagaland,0,0,0,0,0,0,0,10
Odisha,2,1,1,14,0,0,0,918
Punjab,0,5,1,21,0,2,0,831
Rajasthan,1,8,4,556,0,51,19,4335
Sikkim,0,0,0,1,0,0,0,16
Tamil Nadu,0,4,0,7,0,2,0,331
Telangana,1,4,0,21,0,0,0,606
Tripura,0,0,0,2,9,0,1,97
Uttar Pradesh,0,5,1,492,7,28,0,3946
Uttarakhand,0,0,0,1,0,0,0,561
West Bengal,0,0,1,55,0,0,0,1069
A&N Islands,1,0,0,0,0,0,0,30
Chandigarh,0,5,0,2,0,1,0,86
D&N Haveli,0,0,0,0,0,0,0,7
Daman & Diu,0,0,0,0,0,0,0,3
Delhi,3,0,2,44,0,0,0,1215
Lakshadweep,0,0,0,0,0,0,0,2
Puducherry,0,0,0,0,0,0,0,0
